time,"water_level (m, NAVD88)",qc_water_level
6/2/23 11:25,1.4909234,0
6/2/23 11:30,1.4569734,0
6/2/23 11:35,1.4241534,0
6/2/23 11:40,1.3866134,0
6/2/23 11:45,1.3522434,0
6/2/23 11:50,1.3067634,0
6/2/23 11:55,1.2668434,0
6/2/23 12:00,1.2242334,0
6/2/23 12:05,1.1836034,0
6/2/23 12:10,1.1446534,0
6/2/23 12:15,1.1004734,0
6/2/23 12:20,1.0618234,0
6/2/23 12:25,1.0232634,0
6/2/23 12:30,0.9795934,0
6/2/23 12:35,0.9385834,0
6/2/23 12:40,0.8983134,0
6/2/23 12:45,0.8536534,0
6/2/23 12:50,0.8093034,0
6/2/23 12:55,0.7567534,0
6/2/23 13:00,0.7165034,0
6/2/23 13:05,0.6698134,0
6/2/23 13:10,0.6214334,0
6/2/23 13:15,0.5678734,0
6/2/23 13:20,0.5184234,0
6/2/23 13:25,0.4702634,0
6/2/23 13:30,0.4223734,0
6/2/23 13:35,0.3841134,0
6/2/23 13:40,0.3297634,0
6/2/23 13:45,0.2776934,0
6/2/23 13:50,0.2236634,0
6/2/23 13:55,0.1835534,0
6/2/23 14:00,0.1365734,0
6/2/23 14:05,0.0898334,0
6/2/23 14:10,0.0390034,0
6/2/23 14:15,0.0014034,0
6/2/23 14:20,-0.0304966,0
6/2/23 14:25,-0.0782466,0
6/2/23 14:30,-0.1215466,0
6/2/23 14:35,-0.1466866,0
6/2/23 14:40,-0.1788666,0
6/2/23 14:45,-0.2190266,0
6/2/23 14:50,-0.2443266,0
6/2/23 14:55,-0.2780666,0
6/2/23 15:00,-0.3142366,0
6/2/23 15:05,-0.3324366,0
6/2/23 15:10,-0.3664366,0
6/2/23 15:15,-0.3860166,0
6/2/23 15:20,-0.4171666,0
6/2/23 15:25,-0.4275466,0
6/2/23 15:30,-0.4550166,0
6/2/23 15:35,-0.4695266,0
6/2/23 15:40,-0.4850466,0
6/2/23 15:45,-0.5027066,0
6/2/23 15:50,-0.5161466,0
6/2/23 15:55,-0.5197566,0
6/2/23 16:00,-0.5319566,0
6/2/23 16:05,-0.5498466,0
6/2/23 16:10,-0.5529966,0
6/2/23 16:15,-0.5624666,0
6/2/23 16:20,-0.5633066,0
6/2/23 16:25,-0.5596166,0
6/2/23 16:30,-0.5670966,0
6/2/23 16:35,-0.5616066,0
6/2/23 16:40,-0.5524566,0
6/2/23 16:45,-0.5491466,0
6/2/23 16:50,-0.5486966,0
6/2/23 16:55,-0.5310266,0
6/2/23 17:00,-0.5266866,0
6/2/23 17:05,-0.5011066,0
6/2/23 17:10,-0.4974666,0
6/2/23 17:15,-0.4797266,0
6/2/23 17:20,-0.4550266,0
6/2/23 17:25,-0.4183066,0
6/2/23 17:30,-0.3997866,0
6/2/23 17:35,-0.3799266,0
6/2/23 17:40,-0.3572666,0
6/2/23 17:45,-0.3297966,0
6/2/23 17:50,-0.3078266,0
6/2/23 17:55,-0.2716866,0
6/2/23 18:00,-0.2455966,0
6/2/23 18:05,-0.2138566,0
6/2/23 18:10,-0.1927166,0
6/2/23 18:15,-0.1591166,0
6/2/23 18:20,-0.1346666,0
6/2/23 18:25,-0.1003366,0
6/2/23 18:30,-0.0672166,0
6/2/23 18:35,-0.0330366,0
6/2/23 18:40,-0.0073966,0
6/2/23 18:45,0.0435234,0
6/2/23 18:50,0.0656634,0
6/2/23 18:55,0.1069834,0
6/2/23 19:00,0.1463234,0
6/2/23 19:05,0.1792134,0
6/2/23 19:10,0.2123534,0
6/2/23 19:15,0.2462734,0
6/2/23 19:20,0.2938234,0
6/2/23 19:25,0.3299434,0
6/2/23 19:30,0.3772834,0
6/2/23 19:35,0.4100134,0
6/2/23 19:40,0.4393234,0
6/2/23 19:45,0.4977034,0
6/2/23 19:50,0.5214034,0
6/2/23 19:55,0.5631034,0
6/2/23 20:00,0.6022034,0
6/2/23 20:05,0.6558434,0
6/2/23 20:10,0.6852234,0
6/2/23 20:15,0.7393134,0
